Comment,Emotion,processed_text
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear,feel reluct leav alon like without help enough repay good
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,fear,asham feel like moment see terrifi cri child dead one
i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy,wake morn voic throat feel ok afternoon scratchi sound like marg simpson night bad throat sore whisper
ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,joy,ive alway nervou someth like feel like realli talent enter someth offici contest
i feel a bit pissed off because we went first,anger,feel bit piss went first
i feel satisfied knowing the dirt and hair is no longer in the car and house,joy,feel satisfi know dirt hair longer car hous
i really like how the special edition really does feel special with songs on it,joy,realli like special edit realli feel special song
i would accept your gift without feeling mad,anger,would accept gift without feel mad
i feel hesitant to do it since i don t have any experience with programming and all,fear,feel hesit sinc experi program
i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,anger,feel particularli bitchi dont think adequ express appreci
i do feel confused,fear,feel confus
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger,im professor look like spitbal friend die cri pillow night feel danger tickl jealousi lure lair
i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger,feel rush finish million thing abl focu task separ
i feel so tortured,anger,feel tortur
i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy,dunno feel complet happi real world taught struggl go thru noth close struggl
i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,joy,feel like taken role grandmoth sinc belov grandma longer
i fear that other people ask me about my feelings i am most reluctant to talk about things,fear,fear peopl ask feel reluct talk thing
i would have smiled except i was starting to feel like any more uptight comments and my jaw would fall right out of my head,fear,would smile except start feel like uptight comment jaw would fall right head
i feel so comfortable around him,joy,feel comfort around
i feel completely unsure of any boundaries or normalcy,fear,feel complet unsur boundari normalci
i think of or feel gratitude i think of my kind and gracious heavenly father,joy,think feel gratitud think kind graciou heavenli father
im feeling really really left out and somewhat dissatisfied with everything,anger,im feel realli realli left somewhat dissatisfi everyth
i simply said how sorry i am and just got out from her car and got into my house feeling restless,fear,simpli said sorri got car got hous feel restless
i am feeling weird and feel wanna know,fear,feel weird feel wan na know
i had an incredible feeling of frantic despair,fear,incred feel frantic despair
i feel reluctant to sell but hey,fear,feel reluct sell hey
i take a long sip and feel the cold sensation of the iced capp,anger,take long sip feel cold sensat ice capp
i wasn t feeling pressured even if this was the longest race and the one i expected the most from,fear,feel pressur even longest race one expect
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger,also hope understand feel angri dont support hat rule turn school event san hat
i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear,rememb feel terrifi ever felt entir life still affect ive never thought account trauma
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,fear,confess feel still couldnt bring scare lose
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,im clearli influenc dash happi emili dickinson exampl use dash instead colon semi colon enhanc feel rush enjamb sonnet
i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger,pray eye read mind comprehend heart feel offend
im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,joy,im afraid go feel like lot peopl group part feel like would cool small group hang
the possibility of having failed the examination,fear,possibl fail examin
i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,joy,feel thank part countri train outdoor late year bundl wear sever layer
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,anger,feel rather grouchi morn sinc didnt sleep last night purpos
i feel like the earthquake has also shaken the foundations of my life and work,fear,feel like earthquak also shaken foundat life work
i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger,might abl recreat feel get back cold fog await tomorrow night
i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,joy,woke feel posit total mood even feel banana shake breakfast chocol shake dinner sunday roast tea
i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,fear,would go straight point rather defin romanc feel anger feel suspici feel
i feel so bitchy and mean and terrible,anger,feel bitchi mean terribl
i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to,anger,feel enviou keep post regular interest wish could feel way
i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain,joy,feel like tri stay faith possibl perceiv real event happen mountain
i feel assaulted the new kid whined,fear,feel assault new kid whine
ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example,anger,ive long road initi feel like rude turn food made brought sometim eat stuff gluten free look delici even mayb wasnt felt good eat realli mediocr wed cake exampl
i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,anger,want make sure didnt feel rush get centuri colleg friday afternoon
id kick myself into gear but i just feel irritable with no motivation what so ever,anger,id kick gear feel irrit motiv ever
i feel so much more productive at college and so to keep that productivity in full gear ill have to chalk up some ideas for art projects this summer train an army of attack pigeons and take over a tiny and uninhabited island,joy,feel much product colleg keep product full gear ill chalk idea art project summer train armi attack pigeon take tini uninhabit island
i have a feeling that your father already convinced him of that,joy,feel father alreadi convinc
i feel im not bothered by that,anger,feel im bother
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,anger,p could sit beat im feel far rebelli today basic im feel angri world time
im totally feeling bitchy and resentful about it,anger,im total feel bitchi resent
i drove to class i was feeling a little apprehensive but still no sweat,fear,drove class feel littl apprehens still sweat
i feel so wronged but what can i do,anger,feel wrong
i feel so weird that it feels like i wanna curse everything and bang my head onto the wall so that my world will be back to its focus,fear,feel weird feel like wan na curs everyth bang head onto wall world back focu
i feel suspicious of wrinkle prevention beauty products for some reason,fear,feel suspici wrinkl prevent beauti product reason
i feel you see frantic and thus i am afraid,fear,feel see frantic thu afraid
i am feeling so grumpy today,anger,feel grumpi today
i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,joy,feel gotten know student pretti well talk parent drop student day
i cant help but feel suspicious of everything,fear,cant help feel suspici everyth
i say we because it makes all the difference as a parent when you have an open and easy to talk to teacher who you really feel is the perfect fit for your child,joy,say make differ parent open easi talk teacher realli feel perfect fit child
i feel a little bit frightened of islam,fear,feel littl bit frighten islam
im with her i feel terrific,joy,im feel terrif
i feel like this insecurity is a good thing when i first started writing i pictured it all,joy,feel like insecur good thing first start write pictur
i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but im destined to live in southern california,anger,even deep feel alaska cold snowi yet big open land pine tree mountain im destin live southern california
i didn t feel like she was shy so much as taking it all in as her mother has described her,fear,feel like shi much take mother describ
i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,fear,feel like time anyon get ring intimid arm leg dont even realli tri
im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,anger,im feel cranki cantanker resent like hous slave basic almost mother know reli heavili either alcohol marijuana separ divorc get space saniti away matern respons
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger,go crazi thank god crave fruit chocol made go cold gross wind blow neck feel mad angri crappi
im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,joy,im convinc make sinc talk never feel sincer execut mayb theme life seem larg ever fathom point alreadi feel like emotionless pit self crave attent
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,begun feel apprehens thick black rain cloud storm sky town
i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear,think pop automat see pictur peopl make feel insecur
i shut the door but i didn t feel triumphant,joy,shut door feel triumphant
i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,anger,could even feel cold breath neck whisper hertha ran finger across side neck
i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,anger,feel like life gave plenti chang shine piss everi one
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger,feel grumpi woman problem grumpi five year old want get way kind grumpi think differ
i feel like im back in my element and very pleased to be surrounded by adorable tiny garments,joy,feel like im back element pleas surround ador tini garment
i know you feel tortured reading this,anger,know feel tortur read
i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out,joy,feel hell casual favorit blue red heavi color casual tabl otherwis could see tournament deck red popular possibl blue step place one zendikar block rotat
i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,anger,think valid complaint arent will deal aspect imagin rather subject make sure cover base moment still feel danger despit cover
i feel like it must be a popular choice to have alterations done elsewhere,joy,feel like must popular choic alter done elsewher
i feel bothered,anger,feel bother
i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,anger,notic go start feel irrit easili annoy thing feel tini ach insid almost unnotic first day tini hair burrow way foot
i said without emotion while feeling a freaked out fearful anxiety welling up in my chest,fear,said without emot feel freak fear anxieti well chest
i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently,joy,understand extrem posit attribut overshadow weak subconsci peopl wire feel superior other therebi treat differ
i find it very hard to feel relaxed for more than hours,joy,find hard feel relax hour
i am just feeling grumpy and sore,anger,feel grumpi sore
i just make assumptions based on what i see think feel i ve wondered this before with strange things,fear,make assumpt base see think feel wonder strang thing
i feel your motivation will be satisfied when you read this write up also who understands,joy,feel motiv satisfi read write also understand
i walk in the door to my house i feel happy,joy,walk door hous feel happi
i feel more terrified than the customers will be in my maze,fear,feel terrifi custom maze
i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,fear,found email scott dale read fruster much feel need post show world neurot freak
i have been neglecting the feeling of people around me i was stubborn,anger,neglect feel peopl around stubborn
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy,sneakili listen x ma music sinc begin octob feel littl social accept pranc around eartha kitt version santa babi blare ipod
i didn t feel as terrified or as nervous as i normally would in that type of situation,fear,feel terrifi nervou normal would type situat
i typically respond when i feel offended,anger,typic respond feel offend
i am wearing and feeling confident about myself,joy,wear feel confid
i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery,fear,feel like fear first threw leg top tube surgeri
i feel unprotected if i do though,fear,feel unprotect though
im feeling artistic today,joy,im feel artist today
i confess to feeling a bit nervous now though there are some very talented people in the group,fear,confess feel bit nervou though talent peopl group
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear,manag eat usual race morn mostli jon didnt feel quit nervou
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger,never read post never would spent emot mental energi argu head feel irrit
i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,fear,feel pressur time succumb fear insecur thank still abl hold
i feel my strengths are that i m very determined motivated in the workout room,joy,feel strength determin motiv workout room
im feeling doubtful about my writing dreams to know shes behind me,fear,im feel doubt write dream know she behind
i feel so enraged that i want to punch him but i don t because he s only years old,anger,feel enrag want punch year old
i get into what it actually does i feel like everyone should buy it just because it smells amazing,joy,get actual feel like everyon buy smell amaz
i think the sooner we do the better well all feel greg im already in a distressed mood mom,fear,think sooner better well feel greg im alreadi distress mood mom
im so excited but feeling kind of shy about it smile,fear,im excit feel kind shi smile
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,fear,wear feel anxiou visabl spotlight differ unfashion stupid embarrass asham paranoid
i feel like im back to the arms of a beloved last seen a long time ago,joy,feel like im back arm belov last seen long time ago
i feel satisfied and happy with my choices today,joy,feel satisfi happi choic today
i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found,joy,walk away feel inspir excit realist thing could increas blog chanc found
i feeling confused with my life and want to know why my life,fear,feel confus life want know life
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger,look around disappoint littl shown even appar day feel selfish
i was feeling and i said impatient,anger,feel said impati
i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online,fear,feel reluct blog free period even hp plug laptop charg make easi upload photo onlin
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,fear,alway notic even though fabul hide accord rest world feel keenli greatli distress
i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc,anger,got stitch side first mile couldnt feel foot cold etc etc
i feel uncomfortable when i need to sit through a bad presentations,fear,feel uncomfort need sit bad present
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,anger,feel option violent probabl costli yet equal futil what problem keep men woman harm way
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy,ive collect feel vital creat someth preciou item tribut earth power generos
i feel as though i fucked up so majorly this summer that im cast off into an alternate universe that i went the wrong way on a timeline and im stuck in a world that the same as the one i knew in all but one way,anger,feel though fuck majorli summer im cast altern univers went wrong way timelin im stuck world one knew one way
i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless,fear,friend help dress practis thai introduct session sat feel helpless
i feel helpless because i cannot stop it,fear,feel helpless stop
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger,im feel disgust alreadi serious though dont realli like pictur taken caus ive alway refer ugli
i do feel very angered though,anger,feel anger though
i am feeling very virtuous today,joy,feel virtuou today
i just feel so good inside when i see people walking away with their own handmade pieces of,joy,feel good insid see peopl walk away handmad piec
i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic,joy,went see pcm post follow appoint left feel hope optimist
i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now im just so indecisive,fear,wish girl ask prom accept invit way couldv heartbroken done feel im indecis
im still feeling all wimpy it may be another skip around,fear,im still feel wimpi may anoth skip around
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy,didnt feel safe room argument go room thing get rough
im not feeling pissed off about picking up those toys,anger,im feel piss pick toy
im feeling so goddamn pissed and just,anger,im feel goddamn piss
i hopped on the scale this morning feeling none too optimistic,joy,hop scale morn feel none optimist
i appreciate the award i feel there are so many wonderful blogs out there that we are all winners,joy,appreci award feel mani wonder blog winner
i want to not feel shy with them i want to have fun with them,fear,want feel shi want fun
i should have left this movie feeling frightened or at the very least convinced that this number held some kind of mystical power or was the key to some government conspiracy but no,fear,left movi feel frighten least convinc number held kind mystic power key govern conspiraci
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger,alway feel alway understand peopl hate harm toward hurt taught wrongli hurt want go back undo pain childhood bigotri bind life path
i am feeling extremely pleased with myself and i decide to give the guy another rupees,joy,feel extrem pleas decid give guy anoth rupe
i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,anger,feel tortur everi moment there nowher go get away get back use
im feeling brave this would be nice with black tips,joy,im feel brave would nice black tip
i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker,fear,know think way alway feel skeptic paint nail red sinc also light skin red realli go stand cute way year old wear red nail without look like tri hard look like hooker
in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,anger,ward epilept patient burnt whole bodi stink much whole ward affect peopl could come near
i have grown accustomed to the creative freedom of living by myself i can dance around my house and write songs and play guitar without feeling inhibited by the eyes and ears of others,fear,grown accustom creativ freedom live danc around hous write song play guitar without feel inhibit eye ear other
i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,joy,extrem posit feel divin energi alon take quak boat shore
i feel in the long run this hurts paulie as you could visibly see how distraught he was with the result and the perception of his performance,fear,feel long run hurt pauli could visibl see distraught result percept perform
i also wouldnt mind a canon d mark iii if anyone is feeling generous,joy,also wouldnt mind canon mark iii anyon feel gener
i wonder how genentech feel about a hostile takeover by its global partner,anger,wonder genentech feel hostil takeov global partner
i feel that when i run i that is me sarah the mind am supporting this body,joy,feel run sarah mind support bodi
i feel truly impatient that this is taking so long,anger,feel truli impati take long
i feel really greedy wanting all this stuff but my mom asked me to make a list so,anger,feel realli greedi want stuff mom ask make list
i feel popular but they dont want to be taught and they wont get married before the get baptized so they cant obviously,joy,feel popular dont want taught wont get marri get baptiz cant obvious
i dont hate you i just honestly feel so bitter towards you atm,anger,dont hate honestli feel bitter toward atm
i don t particularly have too much to say on it as it works well but doesn t particularly feel like it s something very clever or new,joy,particularli much say work well particularli feel like someth clever new
i sometimes feel hated but i am not it is all in my head,anger,sometim feel hate head
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,fear,feel pretti anxiou overwhelm friend rightli note probabl boat mom grandmoth great aunt flee except damn cold baltic sea
i feel like i need cute pictures to share,joy,feel like need cute pictur share
i wake up feeling triumphant,joy,wake feel triumphant
i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,joy,find hard feel jolli throng peopl around lost fervor get stuff cant see heart green wallet encourag constant barrag pressur everi angl shop buy
i am left feeling very confused and blah,fear,left feel confus blah
i got a feeling by the look in her eyes that she was sincere,joy,got feel look eye sincer
i can think about is how lonely i feel im all grouchy and agitated and esily airritated,anger,think lone feel im grouchi agit esili airrit
ive decided to intentionally make it easier on myself even though it makes me feel wimpy admitting that is the reason but this girl does have to work a day job,fear,ive decid intent make easier even though make feel wimpi admit reason girl work day job
im watching a movie called sharknado i feel like my intelligence is being insulted,anger,im watch movi call sharknado feel like intellig insult
i am feeling apprehensive about this move and worried i have blown all my money that was meant to pay my rego,fear,feel apprehens move worri blown money meant pay rego
i still feel like i get walked all over but well i m trying,joy,still feel like get walk well tri
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,anger,told continu way start feel frustrat let know calm way
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,joy,felt like boy disadvantag miss excit entertain home child feel like preciou opportun get close familiar natur
i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,anger,capabl late ive feel pretti bitter depress lot gratitud gener
i can feel their joy and excitement for the opportunity to receive these vital ordinances,joy,feel joy excit opportun receiv vital ordin
i worry about all of the time ive been spending on the computer and about how i feel so distracted by the party,anger,worri time ive spend comput feel distract parti
i feel like i cant be brave,joy,feel like cant brave
i wish i could call off the wedding just so i can feel carefree again,joy,wish could call wed feel carefre
i didnt feel scared at all,fear,didnt feel scare
i feel really contented just listening to the song,joy,feel realli content listen song
i dont know who i like i feel so bitchy and flirty,anger,dont know like feel bitchi flirti
ive had this urgent feeling to write to you and tell you how the files make me feel but have felt hesitant because of fear as to where it will lead me,fear,ive urgent feel write tell file make feel felt hesit fear lead
i started to develop feelings for you they scared me and i freaked out but you promised me that i was safe,fear,start develop feel scare freak promis safe
i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,fear,guess avoid boundari convers feel littl unsur confid strength
im so damn tired and i feel a little grouchy,anger,im damn tire feel littl grouchi
i was feeling quite something im not sure,joy,feel quit someth im sure
i feel rude feel free to grab the seat next to me,anger,feel rude feel free grab seat next
im contemplating and feeling skeptical,fear,im contempl feel skeptic
i feel irritated useless and hopeless,anger,feel irrit useless hopeless
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger,feel bother get credit equal get debt interest
i hurt your feelings or angered you with my last rant im sorry,anger,hurt feel anger last rant im sorri
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,anger,feel angri feel self consciou short wish wasnt alon
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger,feel petti thing extent human seem feel war start stupid littl thing tri might understand thing love two peopl feel jealou lead murder unhappi
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,anger,feel pretti cranki morn stop realli made feel lot better
i was just yesterday feeling uncomfortable with highschool sigh,fear,yesterday feel uncomfort highschool sigh
i feel better now on the menu tonight,joy,feel better menu tonight
i feel so hesitant to say anything positive trying to hold my breath so to speak because none of this really matters until i know that shaun has passed the dlpt,fear,feel hesit say anyth posit tri hold breath speak none realli matter know shaun pass dlpt
i feel stressed out i would watch movies alone or just walk on the streets alone,anger,feel stress would watch movi alon walk street alon
i slough off the carapace of crud that has enveloped me for the past thirty odd hours i feel invigorated and finally ready to face the day,joy,slough carapac crud envelop past thirti odd hour feel invigor final readi face day
i discovered that it gave me a great feeling of satisfaction to produce a blog post a delicious dish a few photos a written recipe that tangible job completed feeling that s rare in my life as a stay at home mom,joy,discov gave great feel satisfact produc blog post delici dish photo written recip tangibl job complet feel rare life stay home mom
i feel a lot of pressure but i am determined to finish them so that i can visit my sister in may with a clear conscience,joy,feel lot pressur determin finish visit sister may clear conscienc
i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,anger,feel get agit someth insignific feel bore go rememb quot
i feel bitchy i guess,anger,feel bitchi guess
i much regret that i allowed johann to accompany me from khartoum i feel convinced he can never rally from his present descara,joy,much regret allow johann accompani khartoum feel convinc never ralli present descara
